Page No.,Speaker,Content,Translation
2,里沙,あ、あたしのオススメはうぶんちゅ,我…我推荐乌班啾
,,最近人気のデスクトップなリナックスです！,是最近很火的桌面Linux
,作者注,うぶんちゅではなくウブントゥです,不是乌班啾而是乌班图哦
,正人&茜,きゃっか！,爬！
,茜,よけんなこのっ！,别跑啊你！
,正人,アジ痛えんだぞ！,真的会痛啊！
,里沙,ハモリながらケンカしないでー,两个人都别吵啦！
,,一瞬くらい検討してくださいよー！,稍微听听我讲话嘛！
3,正人,名前だけカワイクたってしょせんリナックス 動画サイトひとつマトモに見れねぇんだろ,
,,んなんじゃニコニコできねよー！,
,茜,リナックスにGUIなんて必要ない ニコ厨男に無駄なリソース食い尽くされるだけよっ,
,,ターミナルがあれば全てが上手くいく,
,里沙,なけなしの予算で組み上げた ああ憧れのクアッド・コアマシン,
,,その基盤OSを勤めるべきは,
,正人,ウィンドウス スラックウェア をおいて他には無いっ！,
,里沙,とご覧のようにシステム管理同好会では,
,,OS三国時代を迎えていまして（と言えても三人しか居ませんが,
,,とほー,
,,それはそれは激し戦いの日々を送っているのです,
,,あたしはこの状況を打開すべきゅっ,
4,正人,あ,
,茜,里沙ちゃん！,
,里沙,うぶんちゅ,
,正人,悪かったって だから,
,作者注,ウブントゥですよ,
,,試しにちょっとインスコしてみるだけだかんな,
,里沙,わーい,
,茜,あ あたしあは通信委員の仕事があるから,
,正人,おわっいきなりデスクトップきたぞ,
,里沙,LiveCDてゆーらしいですよ,
,正人,で このアイコンをダブルクリックで,
,茜,ねぇ やっぱり手伝おーか？ インストール,
,正人,イラネ,
5,茜,デスクトップ必要ないんだろ,
